Roll No.,Name,Number of courses they wish to take,First course preference,Second course preference,Third course preference,Fourth course preference,Fifth course preference,Sixth course preference
23110908,Alberto Tapia,3,MSE 401-Introduction to Polymer Physics and Processing,MA 605-Commutative Algebra,ME 636-Fuel Cell and Battery Systems,MA 603-Nonlinear Analysis with Applications,,
22510174,Michaela Stephens,1,MSE 310-Physics of Materials,CL 221-Chemical Engineering Thermodynamics,MSE 401-Introduction to Polymer Physics and Processing,ES 613-Modern Control Theory,,
23510250,Messiah Middleton,2,HS 643-Indian and Western Cultural Theory,ME 321-Mechanics of Deformable Bodies,ES 243-Biology for Engineers,CL 221-Chemical Engineering Thermodynamics,,
21510957,Madalyn Hudson,4,MA 603-Nonlinear Analysis with Applications,CE 636-Traffic and Roadway Engineering,ES 613-Modern Control Theory,MSE 209-Material Thermodynamics and Kinetics,ES 623-Biomolecular Materials Science,
19510037,Peter Hayes,1,CL 628-Liquid State Theory,MA 605-Commutative Algebra,MS 404-Neuromarketing,ME 321-Mechanics of Deformable Bodies,MA 603-Nonlinear Analysis with Applications,MSE 209-Material Thermodynamics and Kinetics
19520763,Iris Humphrey,1,MA 624-Partial Differential Equations,,,,,
19110061,Krew Poole,4,MA 624-Partial Differential Equations,MSE 209-Material Thermodynamics and Kinetics,CL 221-Chemical Engineering Thermodynamics,CS 303-Mathematical Foundations for AI,CH 401-Food Chemistry,
22520348,Bonnie Dougherty,3,CS 303-Mathematical Foundations for AI,HS 643-Indian and Western Cultural Theory,MA 603-Nonlinear Analysis with Applications,ME 321-Mechanics of Deformable Bodies,,
20110838,Brett Hogan,2,ES 243-Biology for Engineers,ES 415-Nature-inspired Materials Design,MA 624-Partial Differential Equations,,,
19520456,Kathryn Hunt,3,HS 643-Indian and Western Cultural Theory,ES 613-Modern Control Theory,MA 624-Partial Differential Equations,CL 221-Chemical Engineering Thermodynamics,CS 303-Mathematical Foundations for AI,
19110632,Jesus Harvey,2,MSE 401-Introduction to Polymer Physics and Processing,CH 401-Food Chemistry,,,,
20520620,Nicole Mora,1,MS 404-Neuromarketing,,,,,
23110315,Arturo Faulkner,1,EH 617-Advanced Field Techniques in Earth Sciences,MSE 310-Physics of Materials,PH 607-Topics in Quantum and Statistical Mechanics,MS 404-Neuromarketing,MSE 209-Material Thermodynamics and Kinetics,
20510895,Ansley Pittman,3,HS 643-Indian and Western Cultural Theory,EH 617-Advanced Field Techniques in Earth Sciences,MSE 401-Introduction to Polymer Physics and Processing,,,
23510778,Valentino Garrison,3,ES 243-Biology for Engineers,MSE 401-Introduction to Polymer Physics and Processing,EH 617-Advanced Field Techniques in Earth Sciences,CE 304-Concrete Design,CL 221-Chemical Engineering Thermodynamics,
19110159,Cadence Cano,4,MSE 209-Material Thermodynamics and Kinetics,ME 321-Mechanics of Deformable Bodies,MSE 625-Thermodynamics of thin film growth,CL 221-Chemical Engineering Thermodynamics,,
23510045,Terry Solomon,4,MSE 401-Introduction to Polymer Physics and Processing,PH 607-Topics in Quantum and Statistical Mechanics,ME 321-Mechanics of Deformable Bodies,CH 401-Food Chemistry,HS 649-Public Policy and its Impact Evaluation,HS 643-Indian and Western Cultural Theory
20110248,Mylah McIntosh,1,EH 614-Physics of the Lithosphere,MS 404-Neuromarketing,ES 613-Modern Control Theory,MSE 310-Physics of Materials,PH 607-Topics in Quantum and Statistical Mechanics,CL 221-Chemical Engineering Thermodynamics
23510606,Kristian Huff,4,HS 643-Indian and Western Cultural Theory,CE 304-Concrete Design,ME 321-Mechanics of Deformable Bodies,CH 401-Food Chemistry,MA 624-Partial Differential Equations,
23510130,Karsyn Lynn,1,MSE 401-Introduction to Polymer Physics and Processing,EH 617-Advanced Field Techniques in Earth Sciences,CE 636-Traffic and Roadway Engineering,MSE 209-Material Thermodynamics and Kinetics,MA 605-Commutative Algebra,
22510439,Zechariah Stevenson,1,CL 221-Chemical Engineering Thermodynamics,,,,,
23110943,Regina Butler,3,MA 624-Partial Differential Equations,PH 607-Topics in Quantum and Statistical Mechanics,HS 643-Indian and Western Cultural Theory,MS 404-Neuromarketing,,
20110313,Ryder Gill,1,MA 624-Partial Differential Equations,ES 623-Biomolecular Materials Science,CL 604-Advanced Reaction Engineering,EH 617-Advanced Field Techniques in Earth Sciences,MSE 625-Thermodynamics of thin film growth,
20510251,Jordan Espinosa,1,PH 607-Topics in Quantum and Statistical Mechanics,MA 624-Partial Differential Equations,,,,
23520594,Khalid Eaton,3,MSE 310-Physics of Materials,ES 243-Biology for Engineers,MA 605-Commutative Algebra,,,
19510568,Miley Sexton,2,ME 321-Mechanics of Deformable Bodies,MSE 209-Material Thermodynamics and Kinetics,MA 605-Commutative Algebra,,,
20520492,Mylo Moore,1,ME 321-Mechanics of Deformable Bodies,CS 303-Mathematical Foundations for AI,CH 401-Food Chemistry,ME 636-Fuel Cell and Battery Systems,CL 604-Advanced Reaction Engineering,
20110179,Emily Delarosa,2,MA 624-Partial Differential Equations,MSE 401-Introduction to Polymer Physics and Processing,,,,
23110572,Osiris Sheppard,3,ES 613-Modern Control Theory,MA 603-Nonlinear Analysis with Applications,MSE 401-Introduction to Polymer Physics and Processing,MA 624-Partial Differential Equations,MSE 209-Material Thermodynamics and Kinetics,CH 401-Food Chemistry
22110711,Veda Castillo,3,ES 623-Biomolecular Materials Science,CL 221-Chemical Engineering Thermodynamics,HS 649-Public Policy and its Impact Evaluation,ES 415-Nature-inspired Materials Design,MSE 209-Material Thermodynamics and Kinetics,CH 401-Food Chemistry
19510458,Kai Lamb,1,HS 643-Indian and Western Cultural Theory,MSE 625-Thermodynamics of thin film growth,,,,
20110484,Amaia Calhoun,2,ES 613-Modern Control Theory,EH 617-Advanced Field Techniques in Earth Sciences,HS 643-Indian and Western Cultural Theory,CH 401-Food Chemistry,MSE 310-Physics of Materials,ES 415-Nature-inspired Materials Design
21110605,Gary Johns,2,MSE 401-Introduction to Polymer Physics and Processing,ES 613-Modern Control Theory,CL 628-Liquid State Theory,EH 617-Advanced Field Techniques in Earth Sciences,MSE 310-Physics of Materials,HS 632-A Multilingual Nation
19520036,Giovanna Navarro,2,HS 649-Public Policy and its Impact Evaluation,ME 321-Mechanics of Deformable Bodies,EH 617-Advanced Field Techniques in Earth Sciences,,,
20510846,Reid King,2,EH 617-Advanced Field Techniques in Earth Sciences,HS 649-Public Policy and its Impact Evaluation,MSE 401-Introduction to Polymer Physics and Processing,MA 603-Nonlinear Analysis with Applications,,
22520138,Victoria Reynolds,1,ME 321-Mechanics of Deformable Bodies,PH 607-Topics in Quantum and Statistical Mechanics,MSE 310-Physics of Materials,,,
22510619,Vincent Paul,1,EH 617-Advanced Field Techniques in Earth Sciences,CE 304-Concrete Design,ME 636-Fuel Cell and Battery Systems,ES 613-Modern Control Theory,,
23110449,Daphne Contreras,4,ES 613-Modern Control Theory,MSE 310-Physics of Materials,CL 628-Liquid State Theory,CE 304-Concrete Design,EH 614-Physics of the Lithosphere,
21520581,Emilio Waters,3,ES 613-Modern Control Theory,CL 221-Chemical Engineering Thermodynamics,HS 643-Indian and Western Cultural Theory,MSE 209-Material Thermodynamics and Kinetics,CH 401-Food Chemistry,MSE 625-Thermodynamics of thin film growth
21520741,Bristol Richard,3,HS 643-Indian and Western Cultural Theory,MA 603-Nonlinear Analysis with Applications,MSE 209-Material Thermodynamics and Kinetics,MA 624-Partial Differential Equations,ME 321-Mechanics of Deformable Bodies,
20520959,Ahmed Benitez,3,MSE 209-Material Thermodynamics and Kinetics,EH 617-Advanced Field Techniques in Earth Sciences,MA 605-Commutative Algebra,MA 624-Partial Differential Equations,ME 636-Fuel Cell and Battery Systems,HS 643-Indian and Western Cultural Theory
19510088,Aliza Oliver,1,MSE 625-Thermodynamics of thin film growth,PH 607-Topics in Quantum and Statistical Mechanics,ME 321-Mechanics of Deformable Bodies,,,
22110359,Karson Harmon,3,HS 649-Public Policy and its Impact Evaluation,MS 404-Neuromarketing,CL 628-Liquid State Theory,EH 617-Advanced Field Techniques in Earth Sciences,CL 221-Chemical Engineering Thermodynamics,
23520822,Maren Bryant,3,ES 613-Modern Control Theory,MSE 625-Thermodynamics of thin film growth,HS 643-Indian and Western Cultural Theory,,,
22110137,Jonah Cuevas,4,CH 401-Food Chemistry,ME 636-Fuel Cell and Battery Systems,PH 607-Topics in Quantum and Statistical Mechanics,MSE 209-Material Thermodynamics and Kinetics,HS 649-Public Policy and its Impact Evaluation,
23520299,Adele Nunez,3,MS 404-Neuromarketing,MA 624-Partial Differential Equations,MA 603-Nonlinear Analysis with Applications,CL 628-Liquid State Theory,,
19510292,Caden Campbell,2,MA 605-Commutative Algebra,EH 617-Advanced Field Techniques in Earth Sciences,ES 243-Biology for Engineers,MSE 401-Introduction to Polymer Physics and Processing,ES 415-Nature-inspired Materials Design,ES 613-Modern Control Theory
21520675,Addison Fleming,1,CE 304-Concrete Design,MA 605-Commutative Algebra,ES 613-Modern Control Theory,,,
23110334,Fernando Beasley,4,MSE 401-Introduction to Polymer Physics and Processing,MA 624-Partial Differential Equations,MSE 310-Physics of Materials,MSE 209-Material Thermodynamics and Kinetics,HS 643-Indian and Western Cultural Theory,
23520420,Jaylah Cain,1,CL 628-Liquid State Theory,MSE 401-Introduction to Polymer Physics and Processing,CL 221-Chemical Engineering Thermodynamics,,,
22520280,Benson Conley,3,HS 643-Indian and Western Cultural Theory,MA 605-Commutative Algebra,CL 604-Advanced Reaction Engineering,MSE 310-Physics of Materials,EH 617-Advanced Field Techniques in Earth Sciences,
21510673,Salem Reilly,2,CH 401-Food Chemistry,CL 221-Chemical Engineering Thermodynamics,ES 623-Biomolecular Materials Science,EH 614-Physics of the Lithosphere,ME 321-Mechanics of Deformable Bodies,
19520649,Alvaro Waller,2,ES 243-Biology for Engineers,ME 321-Mechanics of Deformable Bodies,,,,
20110809,Whitley Sexton,2,CH 401-Food Chemistry,MA 603-Nonlinear Analysis with Applications,ES 243-Biology for Engineers,MA 624-Partial Differential Equations,MA 605-Commutative Algebra,
22520707,Mylo Butler,1,CS 303-Mathematical Foundations for AI,MSE 209-Material Thermodynamics and Kinetics,,,,
21520055,Athena Durham,4,MSE 401-Introduction to Polymer Physics and Processing,CL 604-Advanced Reaction Engineering,HS 643-Indian and Western Cultural Theory,MA 605-Commutative Algebra,ME 321-Mechanics of Deformable Bodies,ES 613-Modern Control Theory
20520707,Kellen Ford,3,HS 632-A Multilingual Nation,MA 605-Commutative Algebra,EH 617-Advanced Field Techniques in Earth Sciences,,,
19520559,Alexandra Bonilla,2,MSE 209-Material Thermodynamics and Kinetics,MS 404-Neuromarketing,MA 603-Nonlinear Analysis with Applications,CL 628-Liquid State Theory,,
23520964,Aden Jaramillo,1,ES 613-Modern Control Theory,EH 617-Advanced Field Techniques in Earth Sciences,PH 607-Topics in Quantum and Statistical Mechanics,CE 636-Traffic and Roadway Engineering,ES 243-Biology for Engineers,
19510236,Guadalupe French,2,ME 636-Fuel Cell and Battery Systems,MS 404-Neuromarketing,,,,
19520930,Corey Camacho,4,ME 321-Mechanics of Deformable Bodies,MA 603-Nonlinear Analysis with Applications,CH 401-Food Chemistry,MSE 625-Thermodynamics of thin film growth,HS 643-Indian and Western Cultural Theory,MSE 310-Physics of Materials
19110322,Armani Huff,1,CH 401-Food Chemistry,HS 649-Public Policy and its Impact Evaluation,EH 617-Advanced Field Techniques in Earth Sciences,,,
21520238,Finnley Hubbard,3,MA 603-Nonlinear Analysis with Applications,MA 624-Partial Differential Equations,CL 221-Chemical Engineering Thermodynamics,,,
22110900,Rosie Bautista,2,MSE 401-Introduction to Polymer Physics and Processing,HS 643-Indian and Western Cultural Theory,EH 617-Advanced Field Techniques in Earth Sciences,,,
20510271,Raul Long,1,EH 617-Advanced Field Techniques in Earth Sciences,MSE 209-Material Thermodynamics and Kinetics,ME 636-Fuel Cell and Battery Systems,ME 321-Mechanics of Deformable Bodies,HS 649-Public Policy and its Impact Evaluation,
21510156,Jade Nielsen,1,HS 643-Indian and Western Cultural Theory,CL 628-Liquid State Theory,ES 623-Biomolecular Materials Science,MA 605-Commutative Algebra,PH 607-Topics in Quantum and Statistical Mechanics,
19110049,Tru Combs,2,MA 624-Partial Differential Equations,HS 649-Public Policy and its Impact Evaluation,CH 401-Food Chemistry,MSE 209-Material Thermodynamics and Kinetics,HS 643-Indian and Western Cultural Theory,MA 603-Nonlinear Analysis with Applications
21110234,Irene McDonald,2,ME 636-Fuel Cell and Battery Systems,CL 628-Liquid State Theory,CL 604-Advanced Reaction Engineering,MA 605-Commutative Algebra,,
23510432,Calvin Steele,2,MSE 401-Introduction to Polymer Physics and Processing,ES 243-Biology for Engineers,ES 623-Biomolecular Materials Science,,,
23110451,Rylie Nguyen,3,CL 221-Chemical Engineering Thermodynamics,MSE 209-Material Thermodynamics and Kinetics,MA 624-Partial Differential Equations,EH 617-Advanced Field Techniques in Earth Sciences,,
19510170,Gabriel Ward,2,ME 321-Mechanics of Deformable Bodies,MSE 209-Material Thermodynamics and Kinetics,,,,
20520095,Ariana Vu,4,MA 603-Nonlinear Analysis with Applications,MSE 209-Material Thermodynamics and Kinetics,MSE 401-Introduction to Polymer Physics and Processing,ES 613-Modern Control Theory,MSE 310-Physics of Materials,EH 617-Advanced Field Techniques in Earth Sciences
20510094,Kamdyn Reese,4,MA 605-Commutative Algebra,EH 617-Advanced Field Techniques in Earth Sciences,HS 643-Indian and Western Cultural Theory,ME 636-Fuel Cell and Battery Systems,HS 649-Public Policy and its Impact Evaluation,
22110052,Rosemary Curry,1,HS 643-Indian and Western Cultural Theory,ES 415-Nature-inspired Materials Design,,,,
21110002,Briggs Turner,1,CS 303-Mathematical Foundations for AI,MSE 401-Introduction to Polymer Physics and Processing,,,,
23520144,Brooklyn Kline,3,MA 603-Nonlinear Analysis with Applications,MSE 401-Introduction to Polymer Physics and Processing,ME 321-Mechanics of Deformable Bodies,MS 404-Neuromarketing,CS 303-Mathematical Foundations for AI,ES 243-Biology for Engineers
21520160,Ramon Stein,2,ES 613-Modern Control Theory,CL 604-Advanced Reaction Engineering,MA 603-Nonlinear Analysis with Applications,EH 617-Advanced Field Techniques in Earth Sciences,EH 614-Physics of the Lithosphere,
19110046,Leilany Nguyen,1,MA 624-Partial Differential Equations,CS 303-Mathematical Foundations for AI,,,,
19110393,Gabriel Hurst,2,CL 604-Advanced Reaction Engineering,ME 636-Fuel Cell and Battery Systems,,,,
22520140,Adalee McCarty,4,HS 643-Indian and Western Cultural Theory,HS 649-Public Policy and its Impact Evaluation,ES 623-Biomolecular Materials Science,MSE 625-Thermodynamics of thin film growth,CH 401-Food Chemistry,
21110182,Blaise Hutchinson,2,CL 604-Advanced Reaction Engineering,CE 636-Traffic and Roadway Engineering,ME 321-Mechanics of Deformable Bodies,MA 605-Commutative Algebra,EH 614-Physics of the Lithosphere,MSE 310-Physics of Materials
20110339,Jamie Burch,3,ES 613-Modern Control Theory,MSE 401-Introduction to Polymer Physics and Processing,EH 617-Advanced Field Techniques in Earth Sciences,ME 321-Mechanics of Deformable Bodies,EH 614-Physics of the Lithosphere,
21520813,Gerald Richard,1,CL 221-Chemical Engineering Thermodynamics,CL 604-Advanced Reaction Engineering,ME 321-Mechanics of Deformable Bodies,ES 613-Modern Control Theory,CE 304-Concrete Design,
20520327,Davina Wang,1,CL 604-Advanced Reaction Engineering,MSE 310-Physics of Materials,,,,
22110950,Cohen Rasmussen,1,CG 506-Experimental Techniques in Cognitive Science,CH 401-Food Chemistry,,,,
22510513,Esperanza Mitchell,3,HS 649-Public Policy and its Impact Evaluation,ES 243-Biology for Engineers,ES 613-Modern Control Theory,CL 604-Advanced Reaction Engineering,HS 643-Indian and Western Cultural Theory,
22520486,Jaxon Stokes,4,MSE 209-Material Thermodynamics and Kinetics,CL 604-Advanced Reaction Engineering,MSE 625-Thermodynamics of thin film growth,MA 603-Nonlinear Analysis with Applications,MSE 310-Physics of Materials,
23510468,Miranda Reid,3,ME 636-Fuel Cell and Battery Systems,CE 304-Concrete Design,MSE 209-Material Thermodynamics and Kinetics,MSE 625-Thermodynamics of thin film growth,MA 624-Partial Differential Equations,MSE 310-Physics of Materials
23510399,Josue Deleon,4,EH 617-Advanced Field Techniques in Earth Sciences,MA 603-Nonlinear Analysis with Applications,CL 221-Chemical Engineering Thermodynamics,CL 628-Liquid State Theory,MSE 310-Physics of Materials,
19510673,Gabrielle Barr,4,ES 413-Deep Learning,MSE 401-Introduction to Polymer Physics and Processing,MA 603-Nonlinear Analysis with Applications,MA 624-Partial Differential Equations,CL 604-Advanced Reaction Engineering,
